,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1.0324258,1.005229,0.97853382,1.0104297,0.96871648,1.042328,1.0270591,0.96891331,0.97506394,1.00486,0.97147679,1.0147059,1.0136513,0.99854561,0.97951915,1.0432597,1.0470968,1.0167352,1.010101,0.97910289,1.0273258,0.98478284,0.95857988,0.96149897,1.0283323,0.98743792,0.95366319,0.97208539,1.0787654,1.0382367
1,0.98162963,0.98439451,1.0128311,1.0142444,0.95146706,0.94521267,0.94115385,1.0363712,0.96311475,0.96246856,1.0022585,0.96618357,0.96408691,0.9766958,0.99818182,0.96132387,0.94228794,0.88449321,0.96268908,0.96696574,0.97340102,1.0086919,0.9908642,0.95995729,0.98622417,0.94852071,0.98011765,1.0045849,0.96131838,0.97349285
2,1.0150921,0.96300993,0.99877401,0.99613271,0.94918542,0.97333333,1.0063343,1.0216173,1.0042553,0.95859296,1.016294,1.0026,0.99422611,0.97337026,1.0018215,0.99366838,0.99716652,1.0244858,1.006023,1.0175735,1.007718,0.99531915,1.0480937,1.0,0.95650794,0.99625702,1.0022806,0.99543598,0.96738095,0.96385542
3,0.96283081,0.97958736,1.0069558,1.0586432,0.95913363,1.0310122,0.98862944,0.97479101,0.99898305,0.96204655,1.0127921,1.0361061,0.97770701,0.97811337,1.0018182,1.1215983,0.99868852,1.0057361,0.98429501,0.97582205,0.96129166,0.98931167,1.0313837,0.97793845,1.0,1.0097057,1.005988,0.98938224,1.0246124,0.95775
4,1.0114268,1.0013444,0.97399431,1.0206524,0.99467405,0.97342683,1.0462107,0.98901246,1.0244316,1.0340017,0.99578983,1.0084713,1.0335313,1.0111882,1.0039322,1.0279323,0.98621142,1.0060203,0.99003879,1.0229364,1.0094746,1.0095073,1.0172891,0.97990521,1.0082974,1.0232558,0.99035714,0.98780488,0.99687725,0.99530149
5,0.96183206,1.0418438,0.96412182,1.0400908,1.0254873,0.99298578,1.0626227,0.9856388,0.97929778,1.0341484,0.97040419,1.0,1.0196515,1.048462,0.98493522,1.0051813,1.0084332,1.0198425,0.99839729,1.0225606,0.95989761,1.0026755,0.9433492,1.0048365,0.97103357,1.0115152,0.98124775,1.0093827,1.0060241,0.99003409
6,1.0098413,0.98131443,1.0229338,0.97272727,1.0012531,1.0095456,0.98485128,0.96646048,1.0253678,1.0014268,0.98692924,0.97250859,0.966,0.98142676,1.028755,1.0512027,0.96148768,0.94780729,0.97823954,0.95682187,0.95977778,1.0012808,1.0148931,1.019253,1.0698305,0.96255243,0.99767242,1.0129648,0.97916168,0.97854305
7,1.0550141,1.0369884,0.99619289,0.98242991,1.007718,1.0542738,0.99774902,1.023183,1.0061026,0.99491146,1.0065336,0.98272477,1.0293619,1.0296774,1.0148677,0.98202027,1.0228885,0.98989899,1.0347343,1.0035366,1.0361195,0.98870056,1.0073373,1.0330563,1.0475285,0.97665733,1.0229617,0.98792562,1.0105186,1.0186789
8,1.0,0.98543689,0.97346072,1.0072298,1.0233906,0.98439462,0.9964279,0.97567417,0.96311475,0.94885434,1.0164912,1.004994,0.98390931,1.0025063,1.0164079,1.0054372,1.0069367,1.0411455,0.969163,1.0167747,0.9901676,1.0424798,1.0058741,0.98628634,1.0096794,0.97195666,0.97527308,0.98093376,1.0137981,0.97156524
9,1.0262217,1.0201328,1.0250818,1.0483566,1.003843,1.0204082,0.97056604,1.0088332,0.97668085,0.95407503,0.98602002,1.0049692,1.0081769,1.0183333,0.96944364,1.0177685,0.92777778,1.0967436,0.99090909,1.0128934,0.98736177,1.1201779,1.0074749,0.98368558,0.99251049,1.0554098,1.0200615,0.98604535,0.98638968,0.97948578
