,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,1.0177365,0.99428331,1.0095238,0.98889051,1.0545003,0.99299084,0.99903785,0.99318871,1.0076933,1.0058072,1.0200772,1.0258147,1.0277778,0.99253035,0.99784749,0.96975948,0.99018003,0.99652191,1.0291544,1.0138889,0.97164307,0.99892589,0.97113071,1.0331824,1.0435177
1,0.98671935,1.0057496,1.0062893,0.96424766,0.96789229,1.0047058,0.98461538,0.99599886,0.98884229,0.98614319,0.99697199,0.98154631,0.98698699,0.99529633,0.98705502,1.0240964,0.99008264,0.98837581,1.0021212,0.9640411,0.99570679,1.0193548,0.97440132,1.0014575,0.98262381
2,1.0084131,0.98808463,0.996875,1.0317797,1.0113282,0.96721023,1.0097656,0.9902487,0.99049881,0.98477752,0.98936978,0.99486907,1.0060852,1.0009452,0.9704918,0.97992971,0.98330551,1.0011746,0.97526844,1.0195382,1.0060359,1.0021097,1.0355932,1.0247837,0.98054819
3,0.99082437,1.0072367,0.98589592,0.97844107,0.99359873,0.97336624,1.0116054,0.99478564,0.99940144,1.010108,0.9884881,1.0214763,0.98991935,1.00661,1.0112616,0.98587571,1.0169779,1.0035271,0.99926725,1.0,0.99057276,0.98947368,0.96235679,0.98577528,0.98827773
4,0.97558788,0.97318008,0.97138322,0.97586405,0.95249469,0.9490042,0.98852772,0.96156003,0.96040796,0.96880427,0.97981366,0.96720332,0.96130346,0.96247655,0.96659244,0.99212149,0.95325543,0.98594853,0.96519205,0.96864111,0.99048581,0.96914894,0.96768707,0.94083477,0.97262774
5,1.0276114,1.019685,1.0343672,1.0107527,1.0338151,0.990828,1.020311,0.98061812,1.0006236,1.0322002,1.0435816,1.0521738,0.98411017,1.0302144,1.0264973,1.0180494,1.0262697,1.0059363,1.0465841,1.0179856,1.0148457,1.0186608,1.0307557,1.0552147,1.0243902
6,1.0033572,1.0202687,1.0,1.0223421,1.0114446,1.0502633,1.0066335,0.99814608,1.019975,1.0005876,0.98557327,1.017354,1.0,0.98959319,1.0056113,1.0134763,0.98805461,0.98110983,1.0301485,1.0318021,1.0094678,1.0107759,1.0179028,1.0188977,0.99542125
7,0.99581857,0.9924314,1.0047494,1.012487,1.0064686,1.0125942,1.0018832,0.99628806,1.004896,1.0341176,0.99306626,0.98050368,1.0473628,0.98852772,1.0178575,1.0,1.0310881,0.96269369,1.018821,1.005137,1.0042612,1.0191898,1.0117253,0.99001201,1.0064397
8,0.97731095,1.0090601,1.0062992,0.97841566,0.9742959,0.99004999,0.98778346,0.99875621,1.0079181,0.98919317,0.99224205,0.99834035,0.98869476,0.98646035,1.0076758,0.99649993,0.99162479,0.98,1.0027316,0.97955707,1.0042458,0.99372385,1.0074503,0.98847262,0.97989031
9,1.0094555,1.0222019,1.0046923,1.0220605,1.0156663,1.0188458,1.0313971,1.0099515,1.0151048,1.0097748,0.99218139,0.99336099,1.0218295,1.0196078,1.0076163,1.0014045,1.0016892,1.0,1.0122849,1.0208696,1.0042252,1.0294737,1.0090386,1.0058309,1.0
10,1.029814,1.0189456,1.0404984,1.0010261,1.0495116,1.001231,1.0230642,1.0240157,1.0321429,1.0523918,1.0181245,1.0192161,1.0223805,1.0144231,1.0280785,1.0168303,1.0151771,1.0191347,1.0040366,1.0255537,1.0176781,1.0102249,1.0154723,1.0275386,1.0391791
11,1.0,0.99410214,0.97455329,1.0030817,0.9775703,0.98522202,0.98286603,1.003607,0.92387543,0.98701299,1.003096,1.005739,0.96915423,0.99336493,0.99789849,0.99517352,0.96511628,0.99248662,1.012087,0.9833887,0.99338297,0.98279352,0.98797113,0.96897045,0.99551167
12,0.99503722,1.0118599,0.9831005,0.97543505,0.99525316,0.96625281,0.98715596,1.0053924,0.99250936,0.9879386,0.98611111,0.99755371,0.98049281,0.9990458,0.97263191,1.0090079,0.99483649,0.95082563,0.9814282,0.99662162,1.0249792,0.97940268,0.97970779,1.014556,0.9792606
13,0.98503741,0.99729918,0.9875,0.99160547,0.99284578,0.9935298,0.99442379,1.0166859,0.99811421,1.0027756,0.98122066,1.0089882,0.99162304,0.97516714,0.9989174,1.0,0.98442907,1.0291734,1.0250032,0.98474576,0.98293942,0.9831756,0.98094449,0.98134638,0.98526703
14,1.0084375,1.0253164,0.97943291,1.0201041,0.99599935,0.98046715,1.0046744,1.012896,0.98928697,1.009407,1.0015949,1.0064777,1.0073918,0.98824682,0.98158214,0.99725275,1.0017575,1.003868,0.99801715,1.0034423,1.0041336,1.0032086,1.0211149,1.005848,0.99158879
15,1.0209232,1.0242454,1.016155,1.0020747,1.0120579,1.0491378,1.0037209,1.0289349,0.98343949,1.004386,1.0302548,1.0193081,1.0272537,1.0029732,1.0463576,1.0096419,1.0175439,1.0089879,1.0303853,0.9897084,1.0246913,1.0074627,1.0115798,1.0174419,1.0009425
16,1.0,1.0262613,1.0333837,0.98033292,1.014297,1.0151895,0.99165747,1.0011263,1.0051813,1.0272926,0.97990726,1.0213114,0.98673469,1.013834,1.0443038,1.0013643,1.0086207,1.0241668,0.99615179,1.0103986,0.98955696,1.0116402,0.99591169,0.98571429,1.0263653
